5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 46 15 34 9 19 17 31 3 25 29 1 42 11 21 23 13 27 48 36 40 38 44 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 46 15 9 19 31 17 12 3 25 29 1 42 21 23 13 27 34 48 36 40 38 44 
5 7 74 66 70 64 62 58 56 68 54 52 50 46 72 60 16 9 19 31 17 12 3 25 29 1 42 21 23 13 27 34 48 36 40 38 44 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 47 15 34 9 17 31 20 44 3 25 29 1 42 11 21 23 13 27 48 36 40 38 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 46 15 34 9 19 17 31 3 25 29 1 42 11 21 23 51 13 27 48 36 40 38 44 
5 7 74 66 70 64 63 72 60 58 56 68 54 52 46 15 34 9 19 17 31 3 25 29 1 42 11 21 23 51 13 27 48 36 40 38 44 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 47 15 34 9 17 31 20 44 3 25 29 1 42 11 21 23 51 13 27 48 36 40 38 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 46 15 9 19 31 17 12 3 25 29 1 42 21 13 27 34 48 36 40 38 24 44 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 50 46 15 34 9 19 17 31 3 25 29 1 42 11 21 13 27 48 36 40 38 24 44 
5 7 74 66 70 64 62 58 56 68 54 52 50 46 72 60 16 34 9 19 17 31 3 25 29 1 42 11 21 13 27 48 36 40 38 24 44 
5 7 74 66 70 64 62 58 56 68 54 52 50 46 72 60 16 9 19 31 17 12 3 25 29 1 42 21 13 27 34 48 36 40 38 24 44 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 47 15 34 9 17 31 20 3 25 29 1 42 11 21 44 24 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 50 47 15 34 9 17 31 20 3 25 29 1 42 11 21 44 24 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 50 47 15 34 9 17 31 20 3 25 29 43 1 11 21 44 24 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 50 47 15 9 31 20 17 12 44 24 3 25 29 1 42 21 13 27 34 48 36 40 38 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 46 15 9 19 31 17 12 3 25 29 1 42 21 51 13 27 34 48 36 40 38 24 44 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 46 15 34 9 19 17 31 3 25 29 1 42 11 21 51 13 27 48 36 40 38 24 44 
5 7 74 66 70 64 62 58 56 68 54 52 46 72 60 16 9 19 31 17 12 3 25 29 1 42 21 51 13 27 34 48 36 40 38 24 44 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 47 15 34 9 17 31 20 3 25 29 1 42 11 21 44 24 51 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 47 15 34 9 17 31 20 3 25 29 1 42 11 21 44 24 51 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 47 15 34 9 17 31 20 3 25 29 43 1 11 21 44 24 51 13 27 48 36 40 38 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 47 15 9 31 20 17 12 44 24 3 25 29 1 42 21 51 13 27 34 48 36 40 38 
5 7 74 66 70 64 62 72 60 58 56 68 54 52 50 46 15 34 9 19 17 32 3 25 29 1 42 11 21 13 27 48 36 40 38 24 44 
5 7 70 74 66 62 72 60 58 56 68 54 65 52 50 46 15 34 9 19 17 32 3 25 29 1 42 11 21 13 27 48 36 40 38 24 44 
